Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Blank_se_1,Blank_se_2,Blank_se_3,Blank_ur_1,Blank_ur_2,MSMS_neg_se_ur,QC_se_1,QC_se_2,QC_se_3,QC_se_ur_1,QC_se_ur_2,QC_se_ur_3,QC_ur_1,QC_ur_2,se_1,se_10,se_11,se_12,se_13,se_14,se_15,se_16,se_17,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,ur_1,ur_10,ur_11,ur_12,ur_14,ur_2,ur_3,ur_4,ur_5,ur_6,ur_7,ur_8,ur_9
0,6.039,85.00403,Unknown,[M-H]-,null,0.02,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,0,0,0,null,null,null,null,null,null,null,35.93,QC_se_3,85.00403:304234 86.00870:0 87.01336:0,null,0,17035,0,0,0,0,311359,329289,332113,127890,0,138744,0,0,144361,274065,294073,283176,389941,214402,205093,317736,252779,204490,179179,166183,155546,418461,241821,194304,247532,0,0,0,123214,0,141441,0,0,0,0,0,0,0
1,4.001,85.00414,Unknown,[M-H]-,null,0.44,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,1,0,0,null,null,null,null,null,null,null,98.43,se_6,85.00414:2194474 86.00881:0 87.01348:0,null,0,0,0,0,27109,6836,1138756,1022268,1021784,93040,614874,523118,0,68383,1103515,1201701,993626,1296010,1114083,807296,885774,1080446,919360,985067,1048581,764063,986660,1582625,802267,944434,1030800,82447,0,0,0,316138,0,22596,120104,0,13998,141806,0,19851
2,18.462,85.02909,Unknown,[M-H]-,null,0.87,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,2,0,0,null,null,null,null,null,null,null,604.29,ur_5,85.02909:93433552 86.03376:4140251 87.03843:0,null,87602,16153,12854,75598,97277,18522842,1151766,1153016,1020553,70343060,54985714,49942896,79750484,79818046,1004916,1003284,919233,675950,1131091,1223758,913654,1011941,1046391,1194210,1135712,979325,1099544,1726845,1236800,1019010,1222138,71764086,63641521,87509178,84756142,76072978,51088708,83031654,57024695,94023241,85330528,76948524,75023998,65212939
3,4.55,85.0291,Unknown,[M-H]-,null,0.02,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,3,0,0,null,null,null,null,null,null,null,14.93,ur_3,85.02910:2925243 86.03377:0 87.03843:1346032,null,18756,18213,19223,22336,60523,122866,29642,28611,31446,248195,235967,215047,661802,551319,0,0,0,34872,0,0,0,30292,0,35354,0,30636,0,0,0,31429,0,617880,294352,686484,1105931,678565,210076,1338700,767087,327750,299255,600955,1095216,815734
4,9.201,85.02911,Unknown,[M-H]-,null,0.11,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,4,0,0,null,null,null,null,null,null,null,21,ur_14,85.02911:5643482 86.03378:0 87.03845:0,null,26880,24709,24050,0,22490,320436,31992,28148,23457,967689,634637,484275,1792188,1898721,21140,32220,0,25461,29675,0,26863,0,28206,25710,45474,40760,21323,36381,32664,28030,33567,1029095,791571,962920,649709,4174823,401877,836183,386465,547501,1338769,1096817,708086,981737
5,19.754,85.02919,Unknown,[M-H]-,null,0.42,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,5,0,0,null,null,null,null,null,null,null,138.81,ur_14,85.02919:15496323 86.03386:707176 87.03853:0,null,28469,16049,12970,20457,43011,3281238,62977,65996,68869,7681959,5503299,5181229,10088243,10191197,67429,56718,40318,54079,54720,49700,47384,47493,56685,61456,50883,41200,53180,94011,44710,65220,47929,8588650,11558429,9873518,12105255,15008244,9102795,7055088,7460741,11806931,10733725,9300625,8890140,9320773
6,10.893,85.02919,Unknown,[M-H]-,null,0.13,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6,0,0,null,null,null,null,null,null,null,20.47,ur_14,85.02919:4605878 86.03386:0 87.03853:0,null,21937,23326,11850,15666,24809,149332,25840,23325,35589,464124,385292,92548,1105026,1104054,13692,26642,23260,38749,25905,9233,28890,14318,29059,32999,28359,42237,20222,36024,29372,15308,29806,884900,410507,237710,382652,4000522,521932,136949,427966,1077128,224987,305021,445663,1058221
7,15.43,85.0292,Unknown,[M-H]-,null,0.87,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,7,0,0,null,null,null,null,null,null,null,58.28,ur_14,85.02920:7929078 86.03387:0 87.03853:0,null,9291,16444,4895,20358,56526,134079,742695,773262,819525,4563434,3115936,2661428,4277969,4704187,556962,548841,847571,523953,685323,827358,704180,543799,823963,769085,664183,776829,705299,728711,1022000,707134,854689,2399676,4355206,5160683,4552179,7519191,1219020,6771905,1373986,5865679,7372032,2664849,4058767,1984843
8,14.459,85.02928,Unknown,[M-H]-,null,0.6,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,8,0,0,null,null,null,null,null,null,null,23.6,ur_14,85.02928:2982578 86.03395:0 87.03862:80168528,null,19970,15510,12720,13604,56526,95256,426341,359882,387864,1509280,980804,685162,1671176,1729048,238983,274785,426487,330178,350693,394239,355428,266019,447541,376768,379625,399004,359557,441491,372587,324493,489669,1051007,1676014,167862,116952,1988184,228958,711299,1153582,1332055,1628571,1612731,1161767,1488324
9,11.967,85.06541,Unknown,[M-H]-,null,0.09,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,9,0,0,null,null,null,null,null,null,null,23.64,ur_9,85.06541:669799 86.07007:0 87.07474:0,null,8438,0,0,0,0,32777,0,5478,7692,81661,43896,33333,68308,121282,8987,0,0,0,0,8570,4059,0,6189,8925,0,13636,0,22796,0,7987,0,114693,0,130790,440862,63754,376729,179009,115122,552744,67278,132477,221018,663164
