Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Blank_se_1,Blank_se_2,Blank_se_3,Blank_ur_1,Blank_ur_2,MSMS_pos_se_ur,QC_se_1,QC_se_2,QC_se_3,QC_se_ur_1,QC_se_ur_2,QC_se_ur_3,QC_ur_1,QC_ur_2,se_1,se_10,se_11,se_12,se_13,se_14,se_15,se_16,se_17,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,ur_1,ur_10,ur_11,ur_12,ur_14,ur_2,ur_3,ur_4,ur_5,ur_6,ur_7,ur_8,ur_9
0,5.27,85.01067,Unknown,[M+H]+,null,0.07,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,0,0,0,null,null,null,null,null,null,null,17.94,ur_6,85.01067:9831935 86.01534:0 87.02001:2950945,null,0,25436,0,0,0,127973,0,82500,0,3138799,1156259,3103784,5790465,4869653,0,0,43557,0,0,0,0,0,68970,58036,0,44767,0,0,0,0,0,112714,6261474,98492,0,6491693,0,129190,0,474642,8967290,127966,577936,0
1,7.752,85.01073,Unknown,[M+H]+,null,0.22,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,1,0,0,null,null,null,null,null,null,null,71.75,ur_14,85.01073:14335192 86.01539:0 87.02006:2560377,null,0,31690,18051,32679,20026,99190,104027,67714,133200,6601301,6770344,5491409,8417543,8547531,212816,0,0,0,0,0,0,33244,19764,18116,21758,394672,25090,19290,36273,0,0,67698,9781297,161681,55581,11773858,130830,590790,0,850306,9728927,0,2146571,0
2,7.448,85.02602,Unknown,[M+H]+,null,0.04,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,2,0,0,null,null,null,null,null,null,null,33.56,ur_2,85.02602:3784303 86.03068:0 87.03535:0,null,0,79359,23879,32679,51534,33336,32041,0,64056,1119811,1554674,1464097,1634363,2682446,0,0,0,0,148034,28314,48889,0,68118,142706,120370,0,22867,0,29772,0,34203,3460106,840134,1764897,1801700,1332617,3183793,727888,3159785,1954346,1836431,2632696,1231326,2717900
3,10.559,85.02837,Unknown,[M+H]+,null,0.44,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,3,0,0,null,null,null,null,null,null,null,115.26,se_5,85.02837:4652692 86.03304:0 87.03771:0,null,0,21250,33423,40776,0,70280,2318388,2351515,2373182,199370,492984,436250,188873,169275,719419,3230796,700478,494097,3876384,2327034,913473,2010692,3810983,3094758,4135262,762590,4319822,2279019,2073366,3944900,1771000,207288,152348,185050,186724,269581,347492,151705,503158,174134,203861,506653,166176,450804
4,15.189,85.0285,Unknown,[M+H]+,null,0.31,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,4,0,0,null,null,null,null,null,null,null,24.52,ur_10,85.02850:6366475 86.03317:0 87.03784:2373858,null,22762,18246,18736,18643,0,597602,546051,273699,455281,3175526,2665984,1105434,3519863,4036513,136570,375095,463406,450730,449526,252682,277909,275365,348366,340715,227975,320674,299258,514052,438413,459728,469751,712222,5609255,716178,289545,5040782,953782,397815,696313,519341,4923718,652474,1193733,603365
5,12.792,85.0285,Unknown,[M+H]+,null,0.44,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,5,0,0,null,null,null,null,null,null,null,21.73,ur_7,85.02850:3912541 86.03317:0 87.03784:0,null,0,19826,19142,22248,34160,51995,462039,428086,449963,1157715,827167,407145,1325283,948803,128244,545824,52901,28259,672024,591321,242832,540976,804034,458345,748913,231173,964206,421508,276236,857859,209898,1547433,1389767,2098070,1794150,216711,1587913,969454,1490142,1928122,600383,2757730,1391905,2265547
6,7.859,85.02862,Unknown,[M+H]+,null,0.2,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6,0,0,null,null,null,null,null,null,null,21.64,ur_1,85.02862:4934846 86.03329:0 87.03795:0,null,0,79359,0,148730,51534,33865,81854,153593,117647,615830,163201,180093,1003729,659696,34973,90930,0,0,274395,28314,48889,59790,68118,142706,282593,81416,238391,30715,29772,200103,145491,3460106,231890,790157,1801700,257931,239691,420642,3159785,718457,368839,578230,340359,2717900
7,4.514,85.02887,Unknown,[M+H]+,null,0.07,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,7,0,0,null,null,null,null,null,null,null,18.22,ur_4,85.02887:5107848 86.03354:0 87.03821:981016,null,26112,0,0,27200,0,14658,0,0,89607,2247788,2268690,415623,3505419,3467654,0,0,0,0,0,0,200831,0,0,0,98293,185008,0,0,0,0,0,2949350,2364674,2401551,2528834,2899086,2151931,2618943,3894361,2459106,2606893,2821570,2707021,2866844
8,15.114,85.0475,Unknown,[M+H]+,null,0.29,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,8,0,0,null,null,null,null,null,null,null,66.92,se_4,85.04750:2710137 86.05217:0 87.05684:0,null,0,18900,19698,0,0,105778,1679781,1641392,1422397,173806,1143337,150612,309284,499101,983304,1503976,1204094,2015306,1159904,1081759,1729623,1333712,1144722,1319222,1196341,2040976,1169001,1760832,1137204,1370753,1253947,136810,120626,478479,222384,155846,136673,221387,134472,278844,271408,137835,295188,0
9,15.084,85.05203,Unknown,[M+H]+,null,0.13,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,9,0,0,null,null,null,null,null,null,null,65.83,QC_se_2,85.05203:2023146 86.05670:0 87.06137:0,null,0,18900,19698,0,0,105778,1679781,1641392,1360137,173806,1143337,150612,309284,499101,945109,1503976,1295536,2015306,1159904,1081759,1729623,1333712,1144722,1319222,1196341,2019260,1169001,1660793,1137204,1370753,1253947,136810,120626,478479,222384,155846,136673,221387,134472,278844,271408,137835,295188,0
10,3.709,85.06493,Unknown,[M+H]+,null,0.11,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,10,0,0,null,null,null,null,null,null,null,55.07,se_6,85.06493:4012674 86.06960:0 87.07427:0,null,0,0,0,0,0,31924,234440,0,0,406345,558404,146032,1146323,973778,0,0,0,0,0,171054,0,204776,0,0,0,0,0,3360274,1776372,92700,1617178,884298,1633650,790563,1606648,357864,843249,240973,1716917,1264866,904227,803328,926199,1500629
11,15.061,85.07563,Unknown,[M+H]+,null,0.09,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,11,0,0,null,null,null,null,null,null,null,8.5,ur_1,85.07563:1365755 86.08030:0 87.08497:0,null,0,0,0,0,0,0,0,0,0,642236,376100,302767,727236,580759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50932,0,1055561,806114,487566,790127,1024159,799735,682931,785221,740806,404123,615417,971725,766799
12,12.243,85.08398,Unknown,[M+H]+,null,0.24,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,12,0,0,null,null,null,null,null,null,null,28.76,ur_4,85.08398:3407185 86.08864:0 87.09331:0,null,22322,0,18629,0,0,428752,0,36813,33486,1840584,1293267,1430938,2741436,2531651,34464,0,0,0,0,22193,0,0,0,0,76018,33354,0,0,0,0,32944,2340340,871760,1294938,2962227,395087,2350837,2320627,3135577,1373180,484919,2358375,2597284,2580604
13,22.177,85.08408,Unknown,[M+H]+,null,0.29,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,13,0,0,null,null,null,null,null,null,null,14.68,ur_11,85.08408:3642768 86.08875:856979 87.09342:0,null,10567,15160,9438,6598,25141,769496,86899,68440,56473,1917656,1236098,1047862,1604088,1768164,21652,114516,32138,30898,110775,46585,33434,41352,72971,14661,48493,48282,96294,71774,27205,59961,43121,80554,2200357,3048778,43538,2953829,166682,2152327,58500,2794060,2002221,0,2689198,168291
14,12.25,85.08845,Unknown,[M+H]+,null,0.09,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,14,0,0,null,null,null,null,null,null,null,38.09,ur_12,85.08845:4016609 86.09312:0 87.09778:0,null,22322,0,18629,0,25399,428752,0,36813,33486,1803305,1293267,1430938,2741436,2531651,0,0,0,0,0,0,0,0,0,0,76018,33354,0,0,0,0,32944,2340340,871760,1294938,2962227,395087,2209375,2320627,3135577,1373180,484919,2358375,2597284,2452920
15,12.293,86.02355,Unknown,[M+H]+,null,0.07,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,15,0,0,null,null,null,null,null,null,null,27.55,ur_2,86.02355:1730978 87.02822:0 88.03289:0,null,0,0,0,0,0,180840,0,28512,37028,196391,326792,0,278436,718778,0,0,0,23949,0,0,0,0,0,25757,0,0,63572,0,0,25060,0,994151,201793,172935,150542,180804,1349422,225629,229948,1044400,281617,615922,330858,268835
16,15.042,86.05968,Unknown,[M+H]+,null,0.31,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,16,0,0,null,null,null,null,null,null,null,25.83,ur_9,86.05968:6924842 87.06434:0 88.06901:0,null,30875,72333,40980,47535,64584,723558,43834,47639,235575,3851144,3399171,2637833,4729804,4676419,33942,298450,92135,36507,84142,91846,192035,45481,82523,42548,49536,43323,84470,400312,151937,73702,55102,3738179,3092125,2986592,3767359,3902657,5731284,5276931,5138935,5381549,3313399,4385823,4482750,6422151
17,12.039,86.05976,Unknown,[M+H]+,null,0.16,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,17,0,0,null,null,null,null,null,null,null,17.27,ur_4,86.05976:3660512 87.06443:0 88.06910:0,null,155716,91260,67653,111262,187283,970412,214004,208215,246032,2558719,2595542,2112834,2682002,2380684,121672,109230,72024,45841,121493,145754,67478,108595,83349,94268,72655,38798,89904,106726,42171,113495,163879,2542133,1981485,3529290,1164829,1941034,3277430,2809998,3353629,2829329,1323372,2744767,2377201,2843297
18,7.518,86.05984,Unknown,[M+H]+,null,0.78,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,18,0,0,null,null,null,null,null,null,null,53.05,ur_4,86.05984:29516934 87.06451:1184086 88.06917:0,null,76443,40161,23498,37350,55040,2336436,914708,558401,763921,10225528,10142370,10423944,16970727,17455866,627582,464377,455111,724317,582558,1007718,634034,475662,763459,708126,717902,547685,566549,782925,599013,549965,826152,17181361,14052315,15919784,20731820,8638302,18017218,13043450,22106083,19705652,10834179,19037899,14926955,20139028
19,11.288,86.05984,Unknown,[M+H]+,null,0.27,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,19,0,0,null,null,null,null,null,null,null,18.54,ur_9,86.05984:6683413 87.06451:0 88.06917:0,null,105083,28010,33814,62958,158540,554458,111715,40408,114691,3120380,1793045,1536052,2771273,3883461,71650,95213,31714,65093,63867,56023,94881,44185,59400,51070,49788,41239,54504,41471,29440,39818,30136,4866374,2648861,3323868,4115823,1211990,2968570,1577949,4105218,4426418,2320552,4444363,3737188,5407643
20,14.249,86.05985,Unknown,[M+H]+,null,0.84,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,20,0,0,null,null,null,null,null,null,null,24.14,QC_ur_1,86.05985:8426292 87.06452:0 88.06919:0,null,32489,78523,122504,75423,40487,562398,1778374,1720768,1804289,5512715,4696846,1687422,6849042,6283284,383918,1068417,1382488,1616658,971823,979965,2341085,1180657,1145757,818334,1098215,2065186,889833,1625881,1027516,1211816,1073474,3745842,4388757,3239125,4953273,3749665,3438710,3584997,3943097,3305972,4043030,4110825,1829792,4911699
21,11.675,86.05988,Unknown,[M+H]+,null,0.18,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,21,0,0,null,null,null,null,null,null,null,16.47,ur_9,86.05988:7491542 87.06455:0 88.06922:0,null,136023,42119,50107,60618,200652,407619,113396,207084,106050,993897,2404085,1111046,1979134,2126349,69138,48202,46306,106745,51072,41927,26796,39704,34869,51070,36017,30133,42243,26384,37436,38642,103357,4000321,794441,3610458,1680158,800585,984162,2811006,1998304,3301662,2480922,5268864,1500188,6738391
22,15.433,86.05988,Unknown,[M-H2O-H]-,null,0.44,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,22,0,0,null,null,null,null,null,null,null,51.58,ur_3,86.05988:23245262 87.06455:1049181 88.06922:0,null,32600,78616,52101,45566,80737,4903722,210277,246368,235575,10158631,8662980,4804183,11439379,10225857,51302,298450,233998,146700,164681,109705,181602,83772,163955,142637,164041,73161,165115,400312,146709,142197,253261,9350088,5843836,6268131,19052672,4578196,13317349,22578634,9918505,8931154,3539886,9225374,5096173,9833345
