"","MetabID","shortname","Fill..","S.N.average","Ontology","Metabolite.name","Formula","HMDB","KEGG","HMDB_accession","CHEBI_ID","PubChem_ID","BiGG_ID","INCHIKEY","SMILES","Serum","Urine","SUB_CLASS","CATEGORY","MAIN_CLASS"
"(+)-1-(9-fluorenyl)ethyl chloroformate","7100_neg","(+)-1-(9-fluorenyl)ethyl chloroformate",0.38,72.92,NA,"Unknown","null","(+)-1-(9-Fluorenyl)ethyl chloroformate","","HMDB0242239","NA","115102","NA","null","null",TRUE,TRUE,NA,NA,NA
"(+)-diacetyl-l-tartaric anhydride","4555_pos","(+)-diacetyl-l-tartaric anhydride",0.47,2450.17,NA,"Unknown","null","(+)-Diacetyl-L-tartaric anhydride;Diacetyl-L-tartaric Anhydride","","HMDB0242250;HMDB0251121","NA;NA","95411;13725948","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(+)-praeruptorin a","12942_pos","(+)-praeruptorin a",0.22,521168.3,NA,"S-Adenosyl-L-homocysteine","null","(+)-Praeruptorin A;Wushanicaritin","","HMDB0242259;HMDB0257872","NA;NA","73189387;NA","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(-)-Epigallocatechin","9166_pos","(-)-Epigallocatechin",0.44,1546423,NA,"Unknown","null","(-)-Epigallocatechin;(+)-Gallocatechin","C12136;C12127","HMDB0038361;HMDB0038365","42255;31018","72277;65084","NA;NA","null","null",TRUE,TRUE,"Epigallocatechins","Flavonoids","Flavans"
"(-)-Slaframine","3698_pos","(-)-Slaframine",0.2,23.75,NA,"Unknown","null","(-)-Slaframine","","HMDB0243523","NA","9794202","NA","null","null",TRUE,FALSE,"Indolizidines","Indolizidines",NA
"(1ar,3s,4as,7s,8as)-3-[(1s,2r,3r)-3-[(2r,5s)-5,6-dimethylheptan-2-yl]-2-(2-hydroxyethyl)-2-methylcyclopentyl]-7-hydroxy-4a-methyl-2,3,5,6,7,8-hexahydro-1ah-naphtho[4,4a-b]oxiren-4-one","15295_neg","(1ar,3s,4as,7s,8as)-3-[(1s,2r,3r)-3-[(2r,5s)-5,6-dimethylheptan-2-yl]-2-(2-hydroxyethyl)-2-methylcyclopentyl]-7-hydroxy-4a-methyl-2,3,5,6,7,8-hexahydro-1ah-naphtho[4,4a-b]oxiren-4-one",0.11,776690.1,NA,"Unknown","null","(1Ar,3S,4aS,7S,8aS)-3-[(1S,2R,3R)-3-[(2R,5S)-5,6-dimethylheptan-2-yl]-2-(2-hydroxyethyl)-2-methylcyclopentyl]-7-hydroxy-4a-methyl-2,3,5,6,7,8-hexahydro-1aH-naphtho[4,4a-b]oxiren-4-one","","HMDB0242305","NA","73837310","NA","null","null",TRUE,FALSE,NA,NA,NA
"(1r,4r,5s,6r)-4-amino-2-oxabicyclo[3.1.0]hexane-4,6-dicarboxylic acid","2999_neg","(1r,4r,5s,6r)-4-amino-2-oxabicyclo[3.1.0]hexane-4,6-dicarboxylic acid",0.49,131.92,NA,"Unknown","null","(1R,4R,5S,6R)-4-Amino-2-oxabicyclo[3.1.0]hexane-4,6-dicarboxylic acid","","HMDB0242337","NA","10130273","NA","null","null",TRUE,TRUE,NA,NA,NA
"(1s,4ar,5r,8s,8as)-2,5-dimethyl-8-propan-2-yl-4,4a,6,7,8,8a-hexahydro-1h-naphthalene-1,5-diol","5513_neg","(1s,4ar,5r,8s,8as)-2,5-dimethyl-8-propan-2-yl-4,4a,6,7,8,8a-hexahydro-1h-naphthalene-1,5-diol",0.84,1023034,NA,"Unknown","null","(1S,4Ar,5R,8S,8aS)-2,5-dimethyl-8-propan-2-yl-4,4a,6,7,8,8a-hexahydro-1H-naphthalene-1,5-diol;Methyl 9-tetradecynoate","","HMDB0250424;HMDB0254572","NA;NA","NA;557205","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(2,5-dihydroxypyrrol-1-yl) 5-[(3as,4s,6ar)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoate","10930_pos","(2,5-dihydroxypyrrol-1-yl) 5-[(3as,4s,6ar)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoate",0.04,154444.1,NA,"Unknown","null","(2,5-Dihydroxypyrrol-1-yl) 5-[(3aS,4S,6aR)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoate;(2,5-Dioxopyrrolidin-1-yl) 5-(2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl)pentanoate","","HMDB0242491;HMDB0242494","NA;NA","54153932;434213","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(2,5-dioxopyrrolidin-1-yl) 5-(2-hydroxyethoxy)-4-oxopentanoate","7476_pos","(2,5-dioxopyrrolidin-1-yl) 5-(2-hydroxyethoxy)-4-oxopentanoate",0.47,18.49,NA,"Unknown","null","(2,5-Dioxopyrrolidin-1-yl) 5-(2-hydroxyethoxy)-4-oxopentanoate","","HMDB0242493","NA","127583","NA","null","null",TRUE,TRUE,NA,NA,NA
"(2,6-dioxo-3h-purin-9-yl) pyridine-3-carboxylate","7143_neg","(2,6-dioxo-3h-purin-9-yl) pyridine-3-carboxylate",0.51,71.19,NA,"Unknown","null","(2,6-Dioxo-3H-purin-9-yl) pyridine-3-carboxylate;6-Imidazol-1-yl-7-nitro-1,4-dihydroquinoxaline-2,3-dione","","HMDB0242495;HMDB0259953","NA;NA","57002623;5486548","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(2-carbamoyl-7-oxo-1,6-diazabicyclo[3.2.1]octan-6-yl) hydrogen sulfate","7072_pos","(2-carbamoyl-7-oxo-1,6-diazabicyclo[3.2.1]octan-6-yl) hydrogen sulfate",0.13,18.64,NA,"Unknown","null","(2-Carbamoyl-7-oxo-1,6-diazabicyclo[3.2.1]octan-6-yl) hydrogen sulfate","","HMDB0242465","NA","9838180","NA","null","null",TRUE,TRUE,NA,NA,NA
