"","MetabID","shortname","Fill..","S.N.average","Ontology","Metabolite.name","Formula","HMDB","KEGG","HMDB_accession","CHEBI_ID","PubChem_ID","BiGG_ID","INCHIKEY","SMILES","Serum","Urine","SUB_CLASS","CATEGORY","MAIN_CLASS"
"((2,6-bis(1-methylethyl)phenoxy)sulfonyl)carbamic acid 2,6-bis(1-methylethyl)phenyl ester","16286_pos","((2,6-bis(1-methylethyl)phenoxy)sulfonyl)carbamic acid 2,6-bis(1-methylethyl)phenyl ester",0.4,316650.8,NA,"Unknown","null","((2,6-Bis(1-methylethyl)phenoxy)sulfonyl)carbamic acid 2,6-bis(1-methylethyl)phenyl ester","","HMDB0242226","NA","3025787","NA","null","null",FALSE,TRUE,NA,NA,NA
"((2r,3s,4s,5r,6s)-6-(2-(3-(benzofuran-5-yl)propanoyl)-3-hydroxy-5-methylphenoxy)-3,4,5-trihydroxytetrahydro-2h-pyran-2-yl)methyl methyl carbonate","18292_pos","((2r,3s,4s,5r,6s)-6-(2-(3-(benzofuran-5-yl)propanoyl)-3-hydroxy-5-methylphenoxy)-3,4,5-trihydroxytetrahydro-2h-pyran-2-yl)methyl methyl carbonate",0.16,96035.57,NA,"Unknown","null","((2R,3S,4S,5R,6S)-6-(2-(3-(Benzofuran-5-yl)propanoyl)-3-hydroxy-5-methylphenoxy)-3,4,5-trihydroxytetrahydro-2H-pyran-2-yl)methyl methyl carbonate","","HMDB0242227","NA","22390119","NA","null","null",FALSE,TRUE,NA,NA,NA
"(+)-(r)-2-(2,4-difluorophenyl)-1-(3-((e)-4-(2,2,3,3-tetrafluoropropoxy)styryl)-1,2,4-triazol-1-yl)-3-(1,2,4-triazol-1-yl)propan-2-ol","18643_neg","(+)-(r)-2-(2,4-difluorophenyl)-1-(3-((e)-4-(2,2,3,3-tetrafluoropropoxy)styryl)-1,2,4-triazol-1-yl)-3-(1,2,4-triazol-1-yl)propan-2-ol",0.09,757558.6,NA,"Unknown","null","(+)-(R)-2-(2,4-Difluorophenyl)-1-(3-((E)-4-(2,2,3,3-tetrafluoropropoxy)styryl)-1,2,4-triazol-1-yl)-3-(1,2,4-triazol-1-yl)propan-2-ol","","HMDB0242238","NA","53423084","NA","null","null",FALSE,TRUE,NA,NA,NA
"(+)-1-(9-fluorenyl)ethyl chloroformate","7100_neg","(+)-1-(9-fluorenyl)ethyl chloroformate",0.38,72.92,NA,"Unknown","null","(+)-1-(9-Fluorenyl)ethyl chloroformate","","HMDB0242239","NA","115102","NA","null","null",TRUE,TRUE,NA,NA,NA
"(+)-2-amino-7-phosphonoheptanoic acid","5016_pos","(+)-2-amino-7-phosphonoheptanoic acid",0.13,7.32,NA,"DEOXYCYTIDINE","null","(+)-2-Amino-7-phosphonoheptanoic acid;""2,2'-Anhydrocytidine""","","HMDB0242241;HMDB0243629","NA;NA","3122;279063","NA;NA","null","null",FALSE,TRUE,NA,NA,NA
"(+)-diacetyl-l-tartaric anhydride","4555_pos","(+)-diacetyl-l-tartaric anhydride",0.47,2450.17,NA,"Unknown","null","(+)-Diacetyl-L-tartaric anhydride;Diacetyl-L-tartaric Anhydride","","HMDB0242250;HMDB0251121","NA;NA","95411;13725948","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(+)-epibatidine","4027_neg","(+)-epibatidine",0.16,18.85,NA,"Unknown","null","(+)-Epibatidine","","HMDB0242251","NA","1204","NA","null","null",FALSE,TRUE,NA,NA,NA
"(+)-praeruptorin a","12942_pos","(+)-praeruptorin a",0.22,521168.3,NA,"S-Adenosyl-L-homocysteine","null","(+)-Praeruptorin A;Wushanicaritin","","HMDB0242259;HMDB0257872","NA;NA","73189387;NA","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(+/-)-(e)-methyl-2-[(e)-hydroxyimino]-5-nitro-6-methoxy-3-hexeneamide","5331_pos","(+/-)-(e)-methyl-2-[(e)-hydroxyimino]-5-nitro-6-methoxy-3-hexeneamide",0.22,44.52,NA,"Unknown","null","(+/-)-(E)-Methyl-2-[(E)-hydroxyimino]-5-nitro-6-methoxy-3-hexeneamide","","HMDB0242268","NA","6809955","NA","null","null",FALSE,TRUE,NA,NA,NA
"(+/-)-dicentrine","10818_pos","(+/-)-dicentrine",0.02,9.62,NA,"Unknown","null","(+/-)-Dicentrine;(R)-Canadine;16,17-Dimethoxy-6,8-dioxa-1-azapentacyclo[11.8.0.03,11.05,9.014,19]henicosa-3,5(9),10,14,16,18-hexaene","","HMDB0242273;HMDB0243674;HMDB0256908","NA;22998;NA","630859;NA;15629571","NA;NA;NA","null","null",FALSE,TRUE,NA,NA,NA
"(-)-3-(4-(2-(phenoxazin-10-yl)ethoxy)phenyl)-2-ethoxypropanoic acid","14522_pos","(-)-3-(4-(2-(phenoxazin-10-yl)ethoxy)phenyl)-2-ethoxypropanoic acid",0.24,7.07,NA,"Unknown","null","(-)-3-(4-(2-(Phenoxazin-10-yl)ethoxy)phenyl)-2-ethoxypropanoic acid","","HMDB0242198","NA","4630913","NA","null","null",FALSE,TRUE,NA,NA,NA
"(-)-Deoxypodophyllotoxin","13032_neg","(-)-Deoxypodophyllotoxin",0.16,5.61,NA,"Unknown","null","(-)-Deoxypodophyllotoxin;1,2-Bis(diphenylphosphino)ethane;(2S)-2-[[(2R,3S,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylamino]-4-methylsulfanylbutanoic acid","","HMDB0242210;HMDB0244059;HMDB0257770","NA;30669;NA","2203;74267;NA","NA;NA;NA","null","null",FALSE,TRUE,"Lignan lactones","Lignan lactones",NA
"(-)-Epicatechin 3-o-gallate","15456_pos","(-)-Epicatechin 3-o-gallate",0.13,98717.34,NA,"Unknown","null","(-)-Epicatechin 3-O-gallate","","HMDB0037944","70255","107905","NA","null","null",FALSE,TRUE,NA,NA,NA
"(-)-Epicatechin sulfate","12231_pos","(-)-Epicatechin sulfate",0.04,293068.1,NA,"Unknown","null","(-)-Epicatechin sulfate;Thioflosulide","","HMDB0012467;HMDB0259011","NA;NA","124202087;NA","NA;NA","null","null",FALSE,TRUE,"3-sulfated flavonoids","Flavonoids","Sulfated flavonoids"
"(-)-Epicatechin-3'-o-glucuronide","15433_neg","(-)-Epicatechin-3'-o-glucuronide",0.09,8.53,NA,"Unknown","null","""(-)-epicatechin-3'-O-glucuronide""","","HMDB0029164","NA","131750793","NA","null","null",FALSE,TRUE,NA,NA,NA
"(-)-Epigallocatechin","9166_pos","(-)-Epigallocatechin",0.44,1546423,NA,"Unknown","null","(-)-Epigallocatechin;(+)-Gallocatechin","C12136;C12127","HMDB0038361;HMDB0038365","42255;31018","72277;65084","NA;NA","null","null",TRUE,TRUE,"Epigallocatechins","Flavonoids","Flavans"
"(-)-Menthyl chloroformate","4680_pos","(-)-Menthyl chloroformate",0.4,22.45,NA,"Unknown","null","(-)-Menthyl chloroformate","","HMDB0242216","NA","151928","NA","null","null",FALSE,TRUE,"Menthane monoterpenoids","Prenol lipids","Monoterpenoids"
"(-)-Parthenolide","5994_neg","(-)-Parthenolide",0.09,19.78,NA,"Unknown","null","(-)-Parthenolide;2,5,9-Trimethyl-11-oxotricyclo[6.3.0.01,5]undec-3-ene-3-carboxylic acid;Isoamyl 4-methoxycinnamate;Arteannuin B;Atractylenolide III;Micheliolide;Parthenium;Perezone;Taurin","","HMDB0242219;HMDB0244375;HMDB0248302;HMDB0248616;HMDB0248708;HMDB0254704;HMDB0256134;HMDB0256311;HMDB0258736","95124;NA;NA;NA;NA;NA;NA;NA;NA","4692;5321540;92386;536300;196319;322515;540288;339385;NA","NA;NA;NA;NA;NA;NA;NA;NA;NA","null","null",FALSE,TRUE,"Germacranolides and derivatives","Prenol lipids","Terpene lactones"
"(1-(5-fluoropentyl)-1h-indol-3-yl)(4-methylnaphthalen-1-yl)methanone","12472_pos","(1-(5-fluoropentyl)-1h-indol-3-yl)(4-methylnaphthalen-1-yl)methanone",0.38,29.19,NA,"Unknown","null","(1-(5-Fluoropentyl)-1H-indol-3-yl)(4-methylnaphthalen-1-yl)methanone","","HMDB0242280","NA","66570720","NA","null","null",FALSE,TRUE,NA,NA,NA
"(17-hydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-yl) n,n-bis(2-chloroethyl)carbamate","15350_pos","(17-hydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-yl) n,n-bis(2-chloroethyl)carbamate",0.09,11.5,NA,"Unknown","null","(17-Hydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-yl) N,N-bis(2-chloroethyl)carbamate","","HMDB0242296","NA","18140","NA","null","null",FALSE,TRUE,NA,NA,NA
