"","se_1","se_2","se_3","se_4","se_5","se_6","se_7","se_8","se_9","se_10","se_11","se_12","se_13","se_14","se_15","se_16","se_17"
"(+)-1-(9-fluorenyl)ethyl chloroformate",11.3621970241274,11.354795767262,11.2894718909303,11.5559406216254,11.3279018589575,11.3090472770631,11.5621698757324,11.320060114902,11.3518903864038,11.3251132194729,11.3095422507028,11.3012753043512,11.1638779184425,11.3295649296459,11.3235915685961,11.3349247520888,11.3155658312584
"(+)-diacetyl-l-tartaric anhydride",16.1299006696465,12.8935344788261,14.7713665818171,16.4146480925345,11.3236593479723,11.1148509431351,14.958587015106,14.5253035013928,15.0561751171399,15.0861302464135,14.8888827382216,15.6301097987154,11.1679879674112,11.7043359510565,15.7815542079347,14.8293437786797,14.3131304508949
"(+)-praeruptorin a",11.5674998024101,14.2328276386697,13.4613305969106,14.6346700068391,12.1961411293934,14.7778947365136,14.4533963028253,13.5702494755376,14.6272460613488,14.2139596189754,13.1226463810276,12.5793982526284,12.1909942383527,13.0784476372683,12.7730228481863,14.3751877967056,11.7751771028881
"(-)-Epigallocatechin",15.2979036251478,15.3926912545956,15.2402053093882,15.3159602850491,15.0853535688945,14.8672684517408,15.3499575943857,14.9553421251576,15.6088473693277,15.2335361904743,15.7433354279807,15.9611110032354,15.1577395437702,15.1290861599207,15.8148626505624,15.071558436517,15.2754081181216
"(-)-Slaframine",12.3484987704396,13.0539395210089,13.0614428552172,12.3448026312915,13.0686552469416,12.9828298069232,13.1079249382289,13.1705314575028,12.528797097405,14.0221553928747,14.6003074326385,14.3129759660075,14.0600673242168,13.9481812386038,13.9161074997072,13.8604256419858,13.7130481592256
"(1ar,3s,4as,7s,8as)-3-[(1s,2r,3r)-3-[(2r,5s)-5,6-dimethylheptan-2-yl]-2-(2-hydroxyethyl)-2-methylcyclopentyl]-7-hydroxy-4a-methyl-2,3,5,6,7,8-hexahydro-1ah-naphtho[4,4a-b]oxiren-4-one",14.5704252632082,14.8633598174032,14.2734164720255,14.3378661016152,14.5632730456506,15.25147036468,14.6685807906081,14.6581063673906,14.5927159415779,15.2094514045461,13.1191799306256,13.5267041347176,14.0813918402622,14.8249403933583,14.0587117937611,14.8182318587244,14.4596303331025
"(1r,4r,5s,6r)-4-amino-2-oxabicyclo[3.1.0]hexane-4,6-dicarboxylic acid",11.2772245157948,10.8388887980933,12.0361307294694,10.1587730125885,11.6995908715356,11.822596181908,10.7124518559337,11.9791597501807,10.5561507462708,11.8728878382945,9.22342854159927,10.6694791563469,12.1971063774502,10.3125660386049,11.2399262446564,10.7374490110547,11.6346327653983
"(1s,4ar,5r,8s,8as)-2,5-dimethyl-8-propan-2-yl-4,4a,6,7,8,8a-hexahydro-1h-naphthalene-1,5-diol",16.8500506210265,16.7795888277141,16.6099614920027,16.5160548917531,16.9260051913627,17.21820538194,17.756365272518,16.5571583832219,17.6923521637242,17.1556571140206,15.6980270478068,16.7508074135054,16.0087641289851,16.8654615271885,16.4234380181376,16.9873115221263,16.9337403589514
"(2,5-dihydroxypyrrol-1-yl) 5-[(3as,4s,6ar)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoate",12.8623557951845,12.9869168262277,12.9500995074819,12.9005118686806,12.9618758164842,13.008183488852,12.9158097545359,12.9314623439085,13.000284606722,12.9667462470939,12.8864348666404,12.8553220781334,12.924629778906,12.964467276222,11.3890824365729,13.0099304209223,13.0010190723135
"(2,5-dioxopyrrolidin-1-yl) 5-(2-hydroxyethoxy)-4-oxopentanoate",11.8915614924765,11.3013219166501,12.5881350403231,11.2335045343794,11.8628619257661,12.4382503001271,11.8827352430763,11.7922889014525,12.674867122616,11.9784378037897,11.5263441124068,12.2271671661128,10.8977691114481,12.048565377459,11.9109483650099,11.5639357229815,11.3248700747172
