"","ur_1","ur_2","ur_3","ur_4","ur_5","ur_6","ur_7","ur_8","ur_9","ur_10","ur_11","ur_12","ur_14"
"((2,6-bis(1-methylethyl)phenoxy)sulfonyl)carbamic acid 2,6-bis(1-methylethyl)phenyl ester",15.9958052672174,15.7386864779173,16.1614460103325,16.3582037290668,16.1087976179396,15.2526965638021,15.8706284685341,15.8132270795904,15.9087690128923,15.3496234162448,15.6358998854333,15.4947852543688,15.7116797464664
"((2r,3s,4s,5r,6s)-6-(2-(3-(benzofuran-5-yl)propanoyl)-3-hydroxy-5-methylphenoxy)-3,4,5-trihydroxytetrahydro-2h-pyran-2-yl)methyl methyl carbonate",13.2016695091422,13.9011685302411,13.233771258755,14.2794143092755,14.6509797615776,14.0067366251764,13.6314688141507,13.9613569851762,12.9713608708378,15.0074505553782,13.8141063096666,13.9806981802645,14.6494910060115
"(+)-(r)-2-(2,4-difluorophenyl)-1-(3-((e)-4-(2,2,3,3-tetrafluoropropoxy)styryl)-1,2,4-triazol-1-yl)-3-(1,2,4-triazol-1-yl)propan-2-ol",13.4788100878488,13.1699054588878,13.1649302332931,13.3615443985263,16.626791851414,15.4351707771941,13.1320567894719,14.2779133620933,13.1165759531316,15.7996754462854,14.2655734540025,13.1053114894284,15.8777410743899
"(+)-1-(9-fluorenyl)ethyl chloroformate",17.4084325883841,17.6278812855606,18.1396946147314,16.7251194032922,17.6466922015444,17.557949320196,17.251125287719,17.7430215107892,17.565147808446,17.4739060414654,17.4447068062756,17.8630967735129,17.3573035355452
"(+)-2-amino-7-phosphonoheptanoic acid",12.9419414133482,12.7008631665883,14.7284722132642,12.9524734896203,13.8406917582426,15.4112359762271,13.1474294026173,13.9901509457322,12.665753214045,13.9765818838745,14.18680668561,14.2234334071347,12.3630277999464
"(+)-diacetyl-l-tartaric anhydride",13.3203834547894,13.285036202262,18.3536432232757,14.7281948153007,18.7782364136997,21.3079531626282,13.2163699908736,19.1370869080538,13.0789912066795,21.1827715885354,18.1244523844215,13.6227944409849,21.5480413930504
"(+)-epibatidine",15.0140736502765,15.2712216642046,14.5573941644974,14.8755347011876,14.6931039891222,14.6663848851086,15.0508270548037,15.7679312725298,14.9083457168197,14.7293340337586,15.4027193825076,14.9985212885131,14.2041309376387
"(+)-praeruptorin a",12.9415220943497,14.3842266904682,13.6963603667866,13.4127631251398,13.5596770117818,13.5259005545331,13.2390897747434,13.4268925108534,13.3395799717002,14.1018733731997,13.2627802027296,12.9757401465929,16.1765181644279
"(+/-)-(e)-methyl-2-[(e)-hydroxyimino]-5-nitro-6-methoxy-3-hexeneamide",16.8206827386332,17.1752146909581,16.9396383620055,15.7758155770471,16.1610300970953,13.6014510506684,16.6123581562971,16.8684496365278,17.0935345420953,13.8393563753336,16.2367516421425,16.6881731275676,13.6632653973261
"(+/-)-dicentrine",14.8580276101481,13.3481799520755,15.429793859064,14.7305161481819,15.5992798681056,14.8694671962941,14.7198884174018,14.9617719582659,13.7592450458024,14.763828817349,15.0501780014962,15.4864159475412,14.8116634225463
