# Gene Family	Abx-1_S1_Abundance-RPKs	Abx-2_S2_Abundance-RPKs	Abx-3_S3_Abundance-RPKs	Abx-4_S4_Abundance-RPKs	Abx-5_S5_Abundance-RPKs	Het-1_S6_Abundance-RPKs	Het-2_S7_Abundance-RPKs	Het-3_S8_Abundance-RPKs	Het-4_S9_Abundance-RPKs	Het-5_S10_Abundance-RPKs	Homo-1_S11_Abundance-RPKs	Homo-2_S12_Abundance-RPKs	Homo-3_S13_Abundance-RPKs	Homo-4_S14_Abundance-RPKs	Homo-5_S15_Abundance-RPKs
UNMAPPED	0.147417	0.162364	0.125396	0.132026	0.118335	0.308424	0.347175	0.31262	0.323389	0.319405	0.406572	0.268966	0.304511	0.359781	0.416101
UNGROUPED	0.65414	0.644691	0.671214	0.666446	0.67233	0.552543	0.521997	0.540563	0.536284	0.541778	0.471857	0.576864	0.540401	0.520073	0.474272
UNGROUPED|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	6.95278e-05	0.00451866	0.00540472	0.00571795	0.00341146	0.00487505	0.0122127	0.0473209	0.0939022	0.0216129	0.00988805
UNGROUPED|g__Alistipes.s__Alistipes_timonensis	0	0	0	0	0	0.000855575	0.00121586	0.00103694	0.000878069	0.0010966	0.000812854	0.000891566	0	0	0
UNGROUPED|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	0	0	0	0	0	0	0	0	0	0	0	0.00227898	0	0	0.00889577
UNGROUPED|g__Bacteroides.s__Bacteroides_caecimuris	0	0	0	0	0	0.0134576	0.0118267	0.0204381	0.0126161	0.0365523	0.00133721	0.00511673	0	0.00550816	0
UNGROUPED|g__Bacteroides.s__Bacteroides_uniformis	0.000523276	0.000484658	0	0	0	0.061197	0.0296019	0.0565479	0.0442194	0.0350847	0.00512373	0.020735	0.160993	0.031021	0.017818
UNGROUPED|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	0.0179252	0.0115516	0.0179678	0.0134636	0.0162027	0.00698373	0.0246538	0	0.00566951	0
UNGROUPED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	0.00018604	0.000173033	0.000136124	0.000246761	0.000308513	0.0383734	0.0640883	0.0632123	0.0452925	0.0378001	0.0994948	0.139929	0.0519481	0.0725647	0.0548411
UNGROUPED|g__Cutibacterium.s__Cutibacterium_acnes	0	0	0.00361166	0	0.00434948	0	0	0	0	0	0	0	0.00127936	0	0
UNGROUPED|g__Dorea.s__Dorea_sp_5_2	0	0	0	0	0	0.00520288	0.00679115	0.0074547	0.00586616	0.00567013	0.0105935	0.00392727	0.00296827	0.00653938	0.0146657
UNGROUPED|g__Eggerthellaceae_unclassified.s__Eggerthellaceae_bacterium	0	0	0	0	0	0	6.28388e-05	3.30676e-05	3.52009e-05	0	0	8.32815e-06	0	0	0
UNGROUPED|g__Enterorhabdus.s__Enterorhabdus_caecimuris	0	0	0	0	0	0.000781888	0.00106428	0.0010239	0.00126262	0.000758746	0.00271756	0.00256873	0.00333928	0.0048545	0.00132706
UNGROUPED|g__Erysipelatoclostridium.s__Clostridium_cocleatum	0	0	0	0	0	0	0	0	0	0	0	0.00035111	0	0	0
