clade_name	clade_taxid	Abx-1_counts	Abx-1_coverage	Abx-1_relative_abundance	Abx-2_counts	Abx-2_coverage	Abx-2_relative_abundance	Abx-3_counts	Abx-3_coverage	Abx-3_relative_abundance	Abx-4_counts	Abx-4_coverage	Abx-4_relative_abundance	Abx-5_counts	Abx-5_coverage	Abx-5_relative_abundance	Het-1_counts	Het-1_coverage	Het-1_relative_abundance	Het-2_counts	Het-2_coverage	Het-2_relative_abundance	Het-3_counts	Het-3_coverage	Het-3_relative_abundance	Het-4_counts	Het-4_coverage	Het-4_relative_abundance	Het-5_counts	Het-5_coverage	Het-5_relative_abundance	Homo-1_counts	Homo-1_coverage	Homo-1_relative_abundance	Homo-2_counts	Homo-2_coverage	Homo-2_relative_abundance	Homo-3_counts	Homo-3_coverage	Homo-3_relative_abundance	Homo-4_counts	Homo-4_coverage	Homo-4_relative_abundance	Homo-5_counts	Homo-5_coverage	Homo-5_relative_abundance
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium globosum	2|201174|1760|85004|31953|1678|1694|	33126.0	0.01684	0.08698	26675.0	0.01356	0.08345	25269.0	0.01285	0.05641	42714.0	0.02171	0.10903	56376.0	0.02866	0.13199	6594649.0	3.35228	8.40508	10651669.0	5.41459	12.43881	10240463.0	5.20556	14.8896	6124676.0	3.11337	10.11345	7045009.0	3.58121	8.16574	16814755.0	8.54749	18.44167	21918210.0	11.14175	28.19258	6519190.0	3.31392	10.2334	11388099.0	5.78895	13.16265	5676704.0	2.88566	9.44253
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium accolens	2|201174|1760|85007|1653|1716|38284|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	638.0	0.00026	0.00119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium mastitidis	2|201174|1760|85007|1653|1716|161890|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	224.0	0.0001	0.00021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium pseudodiphtheriticum	2|201174|1760|85007|1653|1716|37637|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	945.0	0.00041	0.00188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	2|201174|1760|85009|31957|1912216|1747|	1416.0	0.00057	0.00294	1976.0	0.0008	0.00489	11108.0	0.00447	0.01962	3008.0	0.00121	0.00608	23103.0	0.00929	0.04281	2061.0	0.00083	0.00208	840.0	0.00034	0.00078	2724.0	0.0011	0.00313	172.0	7e-05	0.00023	685.0	0.00028	0.00063	276.0	0.00011	0.00024	8740.0	0.00352	0.0089	14688.0	0.00591	0.01825	5596.0	0.00225	0.00512	2120.0	0.00085	0.00279
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__	2|201174||||||	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	414.0	0.00019	0.00047	831.0	0.00038	0.00086	272.0	0.00012	0.00035	275.0	0.00012	0.0004	1133.0	0.00051	0.00117	279.0	0.00013	0.00027	0.0	0.0	0.0	83.0	4e-05	0.00012	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp004793665	2|201174|84998|84999|1643824||2661918|	17558.0	0.00857	0.04425	19340.0	0.00944	0.05807	42447.0	0.02071	0.09094	18483.0	0.00902	0.04528	4838.0	0.00236	0.01087	10618245.0	5.18048	12.98889	13766046.0	6.71624	15.42905	7955091.0	3.88117	11.1014	7270438.0	3.54713	11.52247	20251054.0	9.88018	22.52842	9752630.0	4.75816	10.26598	1483423.0	0.72374	1.83132	5153309.0	2.51422	7.76393	2252782.0	1.0991	2.49908	740173.0	0.36112	1.18167
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp004793925	2|201174|84998|84999|84107||2011094|	6676.0	0.00343	0.01773	9308.0	0.00479	0.02945	7689.0	0.00395	0.01736	18569.0	0.00955	0.04793	7409.0	0.00381	0.01754	80707.0	0.04149	0.10402	65648.0	0.03375	0.07753	48035.0	0.02469	0.07063	19131.0	0.00984	0.03195	71902.0	0.03696	0.08428	5545799.0	2.85089	6.15095	407854.0	0.20966	0.53052	1773458.0	0.91167	2.81524	7933508.0	4.07833	9.27312	6028179.0	3.09887	10.1402
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia caecimuris	2|201174|84998|1643822|1643826|447020|671266|	0.0	0.0	0.0	415.0	0.00015	0.00092	0.0	0.0	0.0	90.0	3e-05	0.00016	451.0	0.00016	0.00075	79179.0	0.02854	0.07156	98658.0	0.03556	0.0817	117230.0	0.04226	0.12088	135190.0	0.04873	0.15831	34616.0	0.01248	0.02845	241064.0	0.0869	0.18749	361173.0	0.1302	0.32944	559731.0	0.20177	0.62308	1017358.0	0.36674	0.83387	193599.0	0.06979	0.22837
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia mucosicola	2|201174|84998|1643822|1643826|447020|580026|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7221.0	0.00246	0.00618	19137.0	0.00653	0.01501	10392.0	0.00355	0.01015	15161.0	0.00517	0.01681	434.0	0.00015	0.00034	52226.0	0.01782	0.03846	72692.0	0.02481	0.06278	22491.0	0.00768	0.0237	55000.0	0.01877	0.04268	45861.0	0.01565	0.05122
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia muris	2|201174|84998|1643822|1643826|447020|1796610|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38048.0	0.01364	0.0342	48164.0	0.01726	0.03966	60244.0	0.02159	0.06177	50098.0	0.01796	0.05833	20217.0	0.00725	0.01652	548864.0	0.19674	0.42448	141429.0	0.0507	0.12828	0.0	0.0	0.0	18788.0	0.00673	0.01531	4605.0	0.00165	0.0054
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__D16-34;s__D16-34 sp009911635	2|201174|84998|1643822|1643826||1972561|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9145.0	0.00313	0.00785	17474.0	0.00598	0.01374	17179.0	0.00588	0.01682	14255.0	0.00488	0.01585	4830.0	0.00165	0.00377	5697.0	0.00195	0.00421	13342.0	0.00457	0.01156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__D16-63;s__D16-63 sp910588095	2|||||||	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1777.0	0.00086	0.00197	602.0	0.00029	0.00083	1302.0	0.00063	0.00204	0.0	0.0	0.0	10560.0	0.00509	0.01097	5377.0	0.00259	0.00655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__MGBC163016;s__MGBC163016 sp910588205	2|201174||||||	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2199.0	0.0011	0.00276	10966.0	0.0055	0.01263	4000.0	0.00201	0.00573	7108.0	0.00356	0.01157	1371.0	0.00069	0.00157	129336.0	0.06482	0.13985	5766.0	0.00289	0.00731	10729.0	0.00538	0.01661	128912.0	0.06461	0.1469	9923.0	0.00497	0.01627
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__MGBC163016;s__MGBC163016 sp910588945	2|1239|186801|186802|186803|||	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0	7e-05	0.00023	0.0	0.0	0.0	1365.0	0.00064	0.00139	8986.0	0.00423	0.01069	0.0	0.0	0.0	651.0	0.00031	0.0007	4839.0	0.00228	0.00745
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__MGBC163016;s__MGBC163016 sp910589135	2|||||||	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244.0	0.00011	0.00028	2160.0	0.001	0.0023	0.0	0.0	0.0	1471.0	0.00068	0.00222	0.0	0.0	0.0	1041.0	0.00048	0.00104	2812.0	0.00131	0.0033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Parvibacter;s__Parvibacter caecicola	2|201174|84998|84999|84107|1427376|747645|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6996.0	0.00299	0.00748	15516.0	0.00662	0.01521	8796.0	0.00375	0.01073	11287.0	0.00482	0.01564	3052.0	0.0013	0.00297	18323.0	0.00782	0.01687	12272.0	0.00524	0.01325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
