feature	SPAdes.MaxBin2Refined.group.Abx.004_sub	SPAdes.MaxBin2Refined.group.Abx.005_sub	SPAdes.MetaBAT2Refined.group.Abx.2	SPAdes.MetaBAT2Refined.group.Abx.3	SPAdes.MetaBAT2Refined.group.Abx.7	SPAdes.MaxBin2Refined.group.HetHomo.040_sub	SPAdes.MaxBin2Refined.group.HetHomo.050_sub	SPAdes.MaxBin2Refined.group.HetHomo.054_sub	SPAdes.MaxBin2Refined.group.HetHomo.055_sub	SPAdes.MaxBin2Refined.group.HetHomo.058	SPAdes.MaxBin2Refined.group.HetHomo.081	SPAdes.MaxBin2Refined.group.HetHomo.083	SPAdes.MaxBin2Refined.group.HetHomo.086_sub	SPAdes.MaxBin2Refined.group.HetHomo.103_sub	SPAdes.MaxBin2Refined.group.HetHomo.109_sub	SPAdes.MaxBin2Refined.group.HetHomo.131_sub	SPAdes.MaxBin2Refined.group.HetHomo.144_sub	SPAdes.MaxBin2Refined.group.HetHomo.145	SPAdes.MaxBin2Refined.group.HetHomo.146_sub	SPAdes.MaxBin2Refined.group.HetHomo.147_sub	SPAdes.MaxBin2Refined.group.HetHomo.174_sub	SPAdes.MaxBin2Refined.group.HetHomo.180_sub	SPAdes.MaxBin2Refined.group.HetHomo.181_sub	SPAdes.MetaBAT2Refined.group.HetHomo.10	SPAdes.MetaBAT2Refined.group.HetHomo.100	SPAdes.MetaBAT2Refined.group.HetHomo.101	SPAdes.MetaBAT2Refined.group.HetHomo.102	SPAdes.MetaBAT2Refined.group.HetHomo.109	SPAdes.MetaBAT2Refined.group.HetHomo.11	SPAdes.MetaBAT2Refined.group.HetHomo.110	SPAdes.MetaBAT2Refined.group.HetHomo.113_sub	SPAdes.MetaBAT2Refined.group.HetHomo.114	SPAdes.MetaBAT2Refined.group.HetHomo.118_sub	SPAdes.MetaBAT2Refined.group.HetHomo.119	SPAdes.MetaBAT2Refined.group.HetHomo.121	SPAdes.MetaBAT2Refined.group.HetHomo.126_sub	SPAdes.MetaBAT2Refined.group.HetHomo.128_sub	SPAdes.MetaBAT2Refined.group.HetHomo.13	SPAdes.MetaBAT2Refined.group.HetHomo.139_sub	SPAdes.MetaBAT2Refined.group.HetHomo.140	SPAdes.MetaBAT2Refined.group.HetHomo.141	SPAdes.MetaBAT2Refined.group.HetHomo.144_sub	SPAdes.MetaBAT2Refined.group.HetHomo.145	SPAdes.MetaBAT2Refined.group.HetHomo.14_sub	SPAdes.MetaBAT2Refined.group.HetHomo.154	SPAdes.MetaBAT2Refined.group.HetHomo.155	SPAdes.MetaBAT2Refined.group.HetHomo.16	SPAdes.MetaBAT2Refined.group.HetHomo.160	SPAdes.MetaBAT2Refined.group.HetHomo.162	SPAdes.MetaBAT2Refined.group.HetHomo.163	SPAdes.MetaBAT2Refined.group.HetHomo.164	SPAdes.MetaBAT2Refined.group.HetHomo.168	SPAdes.MetaBAT2Refined.group.HetHomo.17	SPAdes.MetaBAT2Refined.group.HetHomo.170	SPAdes.MetaBAT2Refined.group.HetHomo.173	SPAdes.MetaBAT2Refined.group.HetHomo.174	SPAdes.MetaBAT2Refined.group.HetHomo.178	SPAdes.MetaBAT2Refined.group.HetHomo.179_sub	SPAdes.MetaBAT2Refined.group.HetHomo.18	SPAdes.MetaBAT2Refined.group.HetHomo.180_sub	SPAdes.MetaBAT2Refined.group.HetHomo.181_sub	SPAdes.MetaBAT2Refined.group.HetHomo.183	SPAdes.MetaBAT2Refined.group.HetHomo.185	SPAdes.MetaBAT2Refined.group.HetHomo.186_sub	SPAdes.MetaBAT2Refined.group.HetHomo.187	SPAdes.MetaBAT2Refined.group.HetHomo.19	SPAdes.MetaBAT2Refined.group.HetHomo.190_sub	SPAdes.MetaBAT2Refined.group.HetHomo.191	SPAdes.MetaBAT2Refined.group.HetHomo.22	SPAdes.MetaBAT2Refined.group.HetHomo.26	SPAdes.MetaBAT2Refined.group.HetHomo.28	SPAdes.MetaBAT2Refined.group.HetHomo.30_sub	SPAdes.MetaBAT2Refined.group.HetHomo.36	SPAdes.MetaBAT2Refined.group.HetHomo.39	SPAdes.MetaBAT2Refined.group.HetHomo.40	SPAdes.MetaBAT2Refined.group.HetHomo.41	SPAdes.MetaBAT2Refined.group.HetHomo.43	SPAdes.MetaBAT2Refined.group.HetHomo.44	SPAdes.MetaBAT2Refined.group.HetHomo.5	SPAdes.MetaBAT2Refined.group.HetHomo.50	SPAdes.MetaBAT2Refined.group.HetHomo.52	SPAdes.MetaBAT2Refined.group.HetHomo.54_sub	SPAdes.MetaBAT2Refined.group.HetHomo.57	SPAdes.MetaBAT2Refined.group.HetHomo.58	SPAdes.MetaBAT2Refined.group.HetHomo.60	SPAdes.MetaBAT2Refined.group.HetHomo.61_sub	SPAdes.MetaBAT2Refined.group.HetHomo.65	SPAdes.MetaBAT2Refined.group.HetHomo.67	SPAdes.MetaBAT2Refined.group.HetHomo.69_sub	SPAdes.MetaBAT2Refined.group.HetHomo.7	SPAdes.MetaBAT2Refined.group.HetHomo.72	SPAdes.MetaBAT2Refined.group.HetHomo.73	SPAdes.MetaBAT2Refined.group.HetHomo.75	SPAdes.MetaBAT2Refined.group.HetHomo.77	SPAdes.MetaBAT2Refined.group.HetHomo.78	SPAdes.MetaBAT2Refined.group.HetHomo.79	SPAdes.MetaBAT2Refined.group.HetHomo.8	SPAdes.MetaBAT2Refined.group.HetHomo.80	SPAdes.MetaBAT2Refined.group.HetHomo.82_sub	SPAdes.MetaBAT2Refined.group.HetHomo.83	SPAdes.MetaBAT2Refined.group.HetHomo.86	SPAdes.MetaBAT2Refined.group.HetHomo.87_sub	SPAdes.MetaBAT2Refined.group.HetHomo.89	SPAdes.MetaBAT2Refined.group.HetHomo.90	SPAdes.MetaBAT2Refined.group.HetHomo.92	SPAdes.MetaBAT2Refined.group.HetHomo.93	SPAdes.MetaBAT2Refined.group.HetHomo.94	SPAdes.MetaBAT2Refined.group.HetHomo.96_sub	SPAdes.MetaBAT2Refined.group.HetHomo.99
het_1	604114	192006	4059	1079635	343217	0	55629	39817	34815	35936	6292	3715	1937	9293	6175	3497	3254	2173	60	759	110	0	1375	2908	636	21805	172881	21474	36179	220939	43	32427	8865	945	2366	1189	1546	2479	274	56494	109	964	384580	353	1842	4634	10617	30663	211754	6125	91102	342	79691	428	36953	1919	51	6631	5986	3226	4980	8054	3765	1591	93	38421	533	564	22380	6844	1873	715	4288	1231	15559	25419	6766	1416	471	4749	571796	69	242	14607	2638	2201	1767	34784	0	8511	1488	2862	0	151935	1849	1074910	9008	2923	788	3227	6195	3597	99	1858	20345	24665	332060	52	589
het_2	750454	109217	710	1258655	544881	0	81086	49002	36205	36180	21345	7599	3468	7301	7841	5132	1339	2964	19	2999	172	13	882	5898	2960	16218	106084	21568	13534	93539	36	15917	2225	7946	9463	2325	2115	2251	514	57768	279	1847	599644	9195	5485	14044	11329	48950	89779	9474	100532	884	89912	1499	19829	2251	26	12005	4838	5183	4001	3470	3383	971	45	43666	408	2679	36950	524	447	535	3194	20174	12674	18361	3882	2187	994	4331	739882	73	566	22925	3851	5473	4101	24903	0	5330	3340	2727	49	61257	1842	1230595	8503	1929	1607	1409	3696	4698	166	1072	17723	22271	318386	62	1345
het_3	423579	129002	9299	819000	520017	777	81234	23189	38663	64900	12412	2353	1308	8021	5602	4777	6732	1474	0	1961	59	0	781	1935	913	22148	110218	15290	9558	170190	35	17799	5571	1528	3511	242	162	1220	204	73612	49	2285	547566	428	1586	6192	16020	32223	166254	4231	86778	174	66378	745	26790	1512	31	22833	5963	6165	7026	1978	462	2328	63	41950	172	1286	20890	5092	270	220	4522	412	11164	19212	3727	1128	448	2942	408050	56	337	20870	4967	6271	892	18803	0	149	1214	5338	0	50209	1575	807460	8560	5514	744	8500	6439	5366	228	505	10464	23478	348959	0	908
het_4	386226	119093	5802	824135	299989	701	72189	31809	25056	35387	14059	5065	1869	6640	3765	1820	2607	2054	0	1700	196	0	566	2851	1245	13399	108966	14708	11516	109745	28	13992	5717	5923	6821	512	4142	1492	309	48946	104	1894	321655	2116	3298	5511	8054	44544	102498	4503	112282	487	86466	364	16926	2446	25	13134	3229	4615	4449	9348	1041	1233	68	19625	300	373	22001	3657	532	543	2011	1656	20550	24946	5879	1574	358	1332	376363	53	426	13771	2654	4198	1926	19191	0	5918	1300	2142	0	81986	2021	812421	7546	797	1291	1218	4699	5588	1130	725	11814	25639	188360	0	1160
het_5	1117290	114325	7961	1454595	357757	615	20186	47189	21157	62441	6371	4377	1436	1680	8267	296	6765	3640	0	486	166	0	0	2092	1092	11837	107446	8185	44985	115405	41	23682	3061	2317	8494	476	203	3452	442	12392	120	164	391369	1216	5924	7430	13224	75818	230404	4921	31288	415	67359	2116	30333	1787	31	11384	5783	1737	2150	219	63	462	31	43839	245	1148	48023	2250	1407	160	3404	1246	17174	7694	2921	2008	313	4508	1094550	54	137	11431	764	1315	711	3753	0	129	1995	2117	0	616	436	1452065	3148	5481	999	12864	6360	1696	190	331	2008	11403	122318	0	412
homo_1	530076	131536	6812	899483	841854	693	81464	34443	18415	25004	4387	20427	2194	581	5676	1330	0	2560	0	412	2655	0	0	12253	9208	5882	487746	207	7268	11542	46	3807	103	1144	54454	0	0	499	1316	7282	1468	532	919155	157	11236	9145	12824	3808	52781	2050	59468	2656	18690	11002	16639	2971	49866	6528	11117	2418	2604	145	10111	4045	365	91388	3079	7513	128107	29455	3277	4636	40	92	2608	11208	1406	3488	3381	338314	511060	78	6234	9671	3394	88	22816	13582	0	2453	4150	4476	0	39960	1145	865616	8329	270	1298	561	1752	13467	4854	61852	6453	3819	132961	731	2948
homo_2	89080	65632	10809	522657	1151740	579	70193	17294	53108	27953	34648	16844	1548	2593	4206	4944	0	7286	752	969	2616	0	573	3918	6192	16699	63993	160	5750	54780	55432	11054	476	2105	8777	0	4845	24	1689	17118	1178	130	1273880	251	1961	2496	519	3310	81309	6027	114006	796	18485	3728	59676	2140	105	19521	13637	5009	7694	702	44000	1380	2008	333113	618	86	19316	5189	769	1529	995	1771	4079	10577	2580	2218	2622	23332	82348	59858	363	24876	6781	652	6994	59567	14166	2793	3758	4115	594	178128	4117	510465	15084	1038	742	22	1976	15505	42377	12338	12422	15153	1027	38	2444
homo_3	295852	93242	16574	8497	345806	0	21607	9081	35970	43191	70	1119	18033	27	16	11	0	0	2682	0	582	0	260	1403	3026	29061	199984	51059	49	475038	19	59	102	964	32	181	0	291	501	327384	412	0	379600	0	2515	644	2104	13613	379	928	82464	423	85048	1107	86	351	15	831	5375	8	13416	13085	45035	79	14957	638053	2614	502	8847	15	766	942	617	1303	77	44	8500	2230	211	95464	265324	0	664	24242	356	0	286	34991	0	7018	751	8234	0	208268	2905	8494	22	0	433	0	0	21882	97	8756	29101	56182	10829	862	636
homo_4	142366	233261	36926	800380	600159	1427	51330	62750	58464	93	26	11526	1395	46	13	237	0	0	14030	11758	1446	0	673	6706	10327	50674	228074	36316	86	115058	0	23750	5449	65	10662	3300	94	9377	2791	127518	778	3129	673663	0	2072	1823	5030	24099	157918	2505	118151	1873	187975	3094	1021	2666	0	2034	28846	704	12707	258	50541	3331	302	197091	624	99	137426	5	10352	1933	5403	349	27701	1206	12170	14046	1027	449008	123183	0	6676	42	4347	944	3684	7579	0	58504	3858	4630	20	109736	6938	799531	2244	15644	3349	0	13	42377	785	8297	23240	42180	232898	3573	2900
homo_5	49510	134707	12486	402932	306610	1061	46074	116640	20716	83	61	26173	3214	36	16	4283	0	97	3957	793	4031	8743	974	5641	30127	11693	74246	36264	35	48470	0	8055	3199	442	34713	25247	155	21508	7256	49649	4655	4585	354404	115	9347	16880	13814	1430	94901	65142	58414	4125	21271	4283	167	2024	0	48980	6986	765	3856	816	33215	35	987	69998	3915	2312	140414	0	14832	5268	4453	4398	6652	356	3527	9259	3775	326471	41283	0	665	51	1578	17	8487	25614	0	90086	2272	4900	21785	71568	2447	400248	161	34	1940	0	0	8168	1872	75562	12042	12378	156067	12588	961
