feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
SPAdes.MaxBin2Refined.group.HetHomo.144_sub	group	Homo	-0.0251637426951533	0.00362093800249122	10	5	0.000118476726672544	0.0129139632073073
SPAdes.MetaBAT2Refined.group.HetHomo.185	group	Homo	0.0685988902144017	0.0121914975708718	10	10	0.000494579359052678	0.0269545750683709
SPAdes.MaxBin2Refined.group.HetHomo.103_sub	group	Homo	-0.0245624371605648	0.00579566352057967	10	10	0.0028449269709785	0.0374707638897091
SPAdes.MaxBin2Refined.group.HetHomo.174_sub	group	Homo	0.0155127538360576	0.00357596782427679	10	10	0.00248487462392405	0.0374707638897091
SPAdes.MetaBAT2Refined.group.HetHomo.11	group	Homo	-0.0429440769017523	0.0106527830910915	10	10	0.00378145323657615	0.0374707638897091
SPAdes.MetaBAT2Refined.group.HetHomo.160	group	Homo	-0.0487066981892307	0.0110411989449925	10	10	0.00225231377583001	0.0374707638897091
SPAdes.MetaBAT2Refined.group.HetHomo.50	group	Homo	0.178811534291413	0.042093069761043	10	10	0.00280675564438485	0.0374707638897091
SPAdes.MetaBAT2Refined.group.HetHomo.61_sub	group	Homo	-0.019059186293379	0.00452405732548319	10	9	0.0029443871851407	0.0374707638897091
SPAdes.MetaBAT2Refined.group.HetHomo.83	group	Homo	-0.0246643710560427	0.00607271697919109	10	7	0.00362586399657363	0.0374707638897091
SPAdes.MetaBAT2Refined.group.HetHomo.86	group	Homo	-0.022714326348584	0.00462330208283426	10	8	0.00117432139110507	0.0374707638897091
SPAdes.MetaBAT2Refined.group.HetHomo.87_sub	group	Homo	0.0336328931476084	0.00823394679387559	10	10	0.00351141688188706	0.0374707638897091
SPAdes.MetaBAT2Refined.group.HetHomo.170	group	Homo	0.0156184058251868	0.00452548575953541	10	10	0.00867931366820079	0.0788370991528238
SPAdes.MetaBAT2Refined.group.HetHomo.30_sub	group	Homo	0.0142998944793156	0.00431504889276803	10	10	0.0106353102150774	0.0828034866745316
SPAdes.MetaBAT2Refined.group.HetHomo.52	group	Homo	-0.139500113852404	0.0419331208012816	10	10	0.0104350610516004	0.0828034866745316
SPAdes.MaxBin2Refined.group.Abx.004_sub	group	Homo	-0.13535749624653	0.0420535910348036	10	10	0.0122632674730681	0.0835435096602766
SPAdes.MetaBAT2Refined.group.HetHomo.18	group	Homo	0.0184890237018154	0.00567209524670129	10	10	0.0115333910786777	0.0835435096602766
SPAdes.MetaBAT2Refined.group.HetHomo.41	group	Homo	-0.0337567417093298	0.0108445947910219	10	10	0.0143850694858306	0.0901345893985331
SPAdes.MetaBAT2Refined.group.HetHomo.90	group	Homo	0.0617410088697723	0.0199794923764088	10	10	0.0148846110933357	0.0901345893985331
SPAdes.MaxBin2Refined.group.HetHomo.109_sub	group	Homo	-0.0193809930708452	0.0065582549982962	10	10	0.018279646472199	0.104867445551036
SPAdes.MetaBAT2Refined.group.HetHomo.190_sub	group	Homo	0.0125911585578531	0.00432795139605151	10	10	0.0196111731153701	0.106880893478767
SPAdes.MetaBAT2Refined.group.Abx.2	group	Homo	0.025712705073114	0.00943437212462112	10	10	0.0260292064484579	0.113487340115276
SPAdes.MaxBin2Refined.group.HetHomo.146_sub	group	Homo	0.0224033737078662	0.00818855703464681	10	6	0.0256096097608626	0.113487340115276
