feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
METHGLYUT.PWY..superpathway.of.methylglyoxal.degradation	Group	Homo	-4.40776655041794	0.497976885992169	10	6	2.09414880738506e-05	0.00403807734655206
PWY.6969..TCA.cycle.V..2.oxoglutarate.synthase.	Group	Homo	2.23044876796118	0.262013670206178	10	10	2.78488092865659e-05	0.00403807734655206
PWY.5913..partial.TCA.cycle..obligate.autotrophs.	Group	Homo	2.15502702601988	0.270797447646939	10	10	4.53505800720863e-05	0.00438388940696835
PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.	Group	Homo	-3.30189817337038	0.472006981567855	10	7	0.000113152115168068	0.00820352834968496
PWY.5367..petroselinate.biosynthesis	Group	Homo	-3.70170191262235	0.560521137859711	10	7	0.000168675575363266	0.00978318337106941
PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	Group	Homo	-2.15399879987867	0.370358965751543	10	7	0.000397857801500881	0.0192297937392093
PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate.	Group	Homo	1.55039373079364	0.301137521512859	10	10	0.000875981201510051	0.0282260609375461
PWY.7199..pyrimidine.deoxyribonucleosides.salvage	Group	Homo	-0.576388151195457	0.11188155743143	10	10	0.000872424437649044	0.0282260609375461
PWY.7383..anaerobic.energy.metabolism..invertebrates..cytosol.	Group	Homo	1.62359406863243	0.309032333852366	10	10	0.000770274010417673	0.0282260609375461
FERMENTATION.PWY..mixed.acid.fermentation	Group	Homo	1.65708841147661	0.32953914570298	10	10	0.00101605749066203	0.0287284034171758
PWY0.1298..superpathway.of.pyrimidine.deoxyribonucleosides.degradation	Group	Homo	-0.769337816225423	0.154718893459549	10	10	0.0010896980606515	0.0287284034171758
P164.PWY..purine.nucleobases.degradation.I..anaerobic.	Group	Homo	-1.82850452566329	0.388368468135394	10	9	0.00152527641449828	0.0340253969388078
P621.PWY..nylon.6.oligomer.degradation	Group	Homo	-1.92242986144581	0.405031756149102	10	5	0.00145201275586721	0.0340253969388078
PWY.6292..superpathway.of.L.cysteine.biosynthesis..mammalian.	Group	Homo	1.25053362444013	0.271095566390057	10	10	0.00172614375062978	0.035755834834474
PWY.7883..anhydromuropeptides.recycling.II	Group	Homo	-2.09028491741704	0.485165072483674	10	7	0.00258624132659896	0.0500006656475799
GLYCOLYSIS.E.D..superpathway.of.glycolysis.and.the.Entner.Doudoroff.pathway	Group	Homo	-1.19760075770246	0.294032674857776	10	10	0.00356846524757986	0.064678432612385
METH.ACETATE.PWY..methanogenesis.from.acetate	Group	Homo	2.26348208465503	0.644272666143149	10	10	0.00792395141796365	0.131216688604561
PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	Group	Homo	-0.473416690444318	0.14132725620713	10	10	0.0100834351882858	0.131216688604561
PWY.6147..6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.I	Group	Homo	-1.16236829831185	0.343855739248791	10	10	0.00963601147072365	0.131216688604561
PWY.6549..L.glutamine.biosynthesis.III	Group	Homo	1.61808980763977	0.494054362362292	10	10	0.0112695758611011	0.131216688604561
PWY.8178..pentose.phosphate.pathway..non.oxidative.branch..II	Group	Homo	0.609323111805345	0.176230854916601	10	10	0.00859900155382	0.131216688604561
PWY4FS.7..phosphatidylglycerol.biosynthesis.I..plastidic.	Group	Homo	-0.684216776069847	0.209072892626642	10	10	0.0113117835003932	0.131216688604561
PWY4FS.8..phosphatidylglycerol.biosynthesis.II..non.plastidic.	Group	Homo	-0.684216776069847	0.209072892626642	10	10	0.0113117835003932	0.131216688604561
PWY4LZ.257..superpathway.of.fermentation..Chlamydomonas.reinhardtii.	Group	Homo	1.47081219419447	0.422692020131455	10	10	0.00832414066854397	0.131216688604561
RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants.	Group	Homo	-0.742015623430177	0.224456189410417	10	10	0.0107647756887893	0.131216688604561
NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..I	Group	Homo	0.598849576983563	0.186163333027447	10	10	0.0122981736730802	0.13246311697141
PWY.6470..peptidoglycan.biosynthesis.V...beta..lactam.resistance.	Group	Homo	-2.20012292085342	0.687670562947542	10	9	0.0126240106754803	0.13246311697141
PWY0.1479..tRNA.processing	Group	Homo	-3.89958094413847	1.22216344870509	10	8	0.012789542328274	0.13246311697141
CALVIN.PWY..Calvin.Benson.Bassham.cycle	Group	Homo	0.409892931696963	0.136958495969644	10	10	0.0172594109274517	0.1668409722987
PWY.7237..myo...chiro..and.scyllo.inositol.degradation	Group	Homo	-0.92446913366695	0.30717551901969	10	10	0.0168243211243913	0.1668409722987
GALACTUROCAT.PWY..D.galacturonate.degradation.I	Group	Homo	1.08294470269956	0.381538078853762	10	10	0.0218668689337998	0.170914756494857
GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation	Group	Homo	1.18463191335512	0.410464660813972	10	10	0.020321164857047	0.170914756494857
GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol	Group	Homo	1.87070943837194	0.674481360497316	10	10	0.0241638104009971	0.170914756494857
HEMESYN2.PWY..heme.b.biosynthesis.II..oxygen.independent.	Group	Homo	-2.55397836807809	0.897870912112271	10	8	0.0216620758929649	0.170914756494857
P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle.	Group	Homo	-1.03789171975764	0.354538586227543	10	7	0.0190726398685814	0.170914756494857
PWY.6270..isoprene.biosynthesis.I	Group	Homo	-0.668885818403628	0.238437690721051	10	10	0.0230096157222126	0.170914756494857
PWY.6609..adenine.and.adenosine.salvage.III	Group	Homo	-0.231011125633623	0.0826922816078659	10	10	0.0234270211968723	0.170914756494857
PWY.7242..D.fructuronate.degradation	Group	Homo	1.24974225526232	0.429705543324578	10	10	0.0196381308352893	0.170914756494857
