"Pathway","Sample","relabundance","Group","PathwayID"
"PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)","Het-1",17.3017,"Het","PWY-6292"
"PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)","Het-2",25.3923,"Het","PWY-6292"
"PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)","Het-3",15.1836,"Het","PWY-6292"
"PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)","Het-4",18.7317,"Het","PWY-6292"
"PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)","Het-5",10.5403,"Het","PWY-6292"
"PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)","Homo-1",48.3961,"Homo","PWY-6292"
"PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)","Homo-2",38.3177,"Homo","PWY-6292"
"PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)","Homo-3",31.3006,"Homo","PWY-6292"
"PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)","Homo-4",30.4612,"Homo","PWY-6292"
"PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)","Homo-5",56.7972,"Homo","PWY-6292"
