"Pathway","Het-1","Het-2","Het-3","Het-4","Het-5","Homo-1","Homo-2","Homo-3","Homo-4","Homo-5"
"METHGLYUT-PWY: superpathway of methylglyoxal degradation",10.0847,1.7482,9.32363,6.02963,4.59647,0,0,0,0.442247,0
"PWY-6969: TCA cycle V (2-oxoglutarate synthase)",8.43186,16.588,7.7574,7.55015,9.60604,39.2386,63.5539,32.8304,47.6475,45.9115
"PWY-5913: partial TCA cycle (obligate autotrophs)",12.1259,24.1029,11.3246,11.0347,13.6296,59.7903,90.6793,42.5567,62.5355,60.4582
"PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)",16.9732,4.46221,17.9595,10.5137,7.39405,0,0,0,1.82253,1.49349
"PWY-5367: petroselinate biosynthesis",9.2299,1.583,9.13681,5.07722,2.98776,0,0,0,0.606607,0.517312
"PWY-5971: palmitate biosynthesis (type II fatty acid synthase)",26.8925,18.6389,30.9392,19.5152,19.6336,0,0,0,11.037,7.04726
"PWY-5188: tetrapyrrole biosynthesis I (from glutamate)",34.6819,37.7736,29.0913,32.2819,36.2618,89.2836,110.022,206,64.6739,73.4836
"PWY-7199: pyrimidine deoxyribonucleosides salvage",364.936,320.805,361.703,397.07,388.972,194.55,280.804,259.019,274.296,228.591
"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",41.5109,68.6668,53.2642,45.9879,47.0835,118.438,223.634,274.849,124.528,100.744
"FERMENTATION-PWY: mixed acid fermentation",32.1921,25.1335,29.3132,12.0266,14.3998,62.2804,92.1475,45.2734,70.2429,70.2184
"PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation",56.8758,66.8325,59.4024,53.0599,41.0208,30.2411,25.0648,35.6998,36.393,34.6877
"P164-PWY: purine nucleobases degradation I (anaerobic)",20.9835,19.6232,31.1429,22.2164,30.8447,5.96533,7.51918,0,13.852,8.39007
"P621-PWY: nylon-6 oligomer degradation",18.166,6.03563,24.8307,11.3937,6.31499,0,0,0,0,0
"PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)",17.3017,25.3923,15.1836,18.7317,10.5403,48.3961,38.3177,31.3006,30.4612,56.7972
