"sample","group","shannon"
"Abx-1","Abx",0.0597911336383452
"Abx-2","Abx",0.0720764098190707
"Abx-3","Abx",0.0601183739147694
"Abx-4","Abx",0.0608271352728234
"Abx-5","Abx",0.0607778120669527
"Het-1","Het",3.06514540372197
"Het-2","Het",2.97714543313782
"Het-3","Het",3.12470294194333
"Het-4","Het",3.11326772334003
"Het-5","Het",2.60899831494817
"Homo-1","Homo",2.99124792595373
"Homo-2","Homo",3.25085471296027
"Homo-3","Homo",2.93697670643542
"Homo-4","Homo",3.25354424096843
"Homo-5","Homo",3.61143676832688
