"species","sample","relabundance","clade_name","clade_taxid","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Strain","sample_col","group","shannon"
"NM07-P-09 sp004793925","Het-1",0.000751873402133937,"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp004793925","2|201174|84998|84999|84107||2011094|","Bacteria",NA,"Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","NM07-P-09","NM07-P-09 sp004793925",NA,"Het-1","Het",3.06514540372197
"NM07-P-09 sp004793925","Het-2",0.000603097849291224,"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp004793925","2|201174|84998|84999|84107||2011094|","Bacteria",NA,"Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","NM07-P-09","NM07-P-09 sp004793925",NA,"Het-2","Het",2.97714543313782
"NM07-P-09 sp004793925","Het-3",0.000526728011646769,"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp004793925","2|201174|84998|84999|84107||2011094|","Bacteria",NA,"Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","NM07-P-09","NM07-P-09 sp004793925",NA,"Het-3","Het",3.12470294194333
"NM07-P-09 sp004793925","Het-4",0.000240525603322474,"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp004793925","2|201174|84998|84999|84107||2011094|","Bacteria",NA,"Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","NM07-P-09","NM07-P-09 sp004793925",NA,"Het-4","Het",3.11326772334003
"NM07-P-09 sp004793925","Het-5",0.000636099038909397,"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp004793925","2|201174|84998|84999|84107||2011094|","Bacteria",NA,"Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","NM07-P-09","NM07-P-09 sp004793925",NA,"Het-5","Het",2.60899831494817
"NM07-P-09 sp004793925","Homo-1",0.0479172657081985,"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp004793925","2|201174|84998|84999|84107||2011094|","Bacteria",NA,"Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","NM07-P-09","NM07-P-09 sp004793925",NA,"Homo-1","Homo",2.99124792595373
"NM07-P-09 sp004793925","Homo-2",0.00404776793715512,"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp004793925","2|201174|84998|84999|84107||2011094|","Bacteria",NA,"Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","NM07-P-09","NM07-P-09 sp004793925",NA,"Homo-2","Homo",3.25085471296027
"NM07-P-09 sp004793925","Homo-3",0.0198766112344707,"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp004793925","2|201174|84998|84999|84107||2011094|","Bacteria",NA,"Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","NM07-P-09","NM07-P-09 sp004793925",NA,"Homo-3","Homo",2.93697670643542
"NM07-P-09 sp004793925","Homo-4",0.0673474186282967,"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp004793925","2|201174|84998|84999|84107||2011094|","Bacteria",NA,"Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","NM07-P-09","NM07-P-09 sp004793925",NA,"Homo-4","Homo",3.25354424096843
"NM07-P-09 sp004793925","Homo-5",0.0657879865885546,"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp004793925","2|201174|84998|84999|84107||2011094|","Bacteria",NA,"Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","NM07-P-09","NM07-P-09 sp004793925",NA,"Homo-5","Homo",3.61143676832688
